category,service
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
3,13
4,14
4,15
5,16
6,17
7,18
7,19
7,20
7,21
7,22
7,23
8,24
8,25
9,26
9,27
10,28
11,29
11,30
11,31
11,32
1,33
2,34
2,35
4,36
12,37
12,38
6,39
7,40
7,41
7,42
7,43
7,44
6,45
7,46
7,47
7,48
7,49
8,50
9,51
11,52
11,53
1,54
1,55
2,56
2,57
2,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
13,68
13,69
4,70
5,71
5,72
5,73
5,74
7,75
9,76
9,77
10,78
10,79
10,80
10,81
11,82
11,83
2,84
2,85
4,86
7,87
7,88
12,89
5,90
1,91
11,92
12,73
12,74
2,93
3,94
3,95
13,96
13,97
13,98
13,99
13,100
5,101
6,102
6,103
7,104
8,105
10,106
10,107
11,108
7,109
7,110
12,72
12,111
12,16
7,112
1,113
1,114
2,115
2,116
4,117
12,118
5,119
5,120
9,121
10,122
10,123
1,124
1,125
1,126
2,127
2,128
3,129
6,130
7,131
7,132
2,133
13,134
6,135
7,136
8,137
9,138
10,139
1,140
2,141
4,142
7,143
7,144
3,145
13,146
4,147
2,148
3,149
4,150
4,151
6,152
7,153
12,154
3,155
6,156
7,157
7,158
11,159
3,160
6,161
7,162
7,163
10,164
6,165
7,166
3,167
7,168
13,169
13,170
4,171
3,172
7,173
7,174
8,175
3,176
4,177
2,178
13,179
9,180
10,181
7,182
5,183
5,184
3,185
13,186
10,187
7,188
7,189
9,190
12,191
2,192
5,193
2,194
5,195
5,196
3,197
3,198
13,199
13,200
3,201
6,202
10,203
2,204
2,205
7,206
13,207
13,208
2,209
3,210
13,211
3,212
7,213
5,214
1,215
2,216
7,217
9,218
12,219
7,220
7,221
12,222
3,223
12,224
7,225
7,226
7,227
7,228
9,229
5,230
5,231
12,232
1,233
5,234
5,235
2,236
1,237
1,238
6,239
7,240
6,241
7,242
13,243
5,244
11,245
6,246
11,247
3,248
5,249
12,250
2,251
7,252
10,253
12,254
7,255
3,256
12,257
7,258
10,259
2,260
2,261
7,262
3,263
7,264
5,265
3,266
13,267
6,268
7,269
5,270
6,271
12,272
6,273
12,274
7,275
5,118
5,276
5,277
1,278
1,279
9,280
13,281
13,282
1,283
13,284
13,285
12,119
6,286
6,287
1,288
1,289
7,290
10,291
1,292
1,293
1,294
2,295
3,296
13,297
4,298
7,299
7,300
7,301
13,302
1,303
1,304
1,305
7,306
10,307
1,308
2,309
3,310
3,311
13,312
5,313
7,314
10,315
13,316
13,317
13,318
5,319
6,320
5,321
10,322
5,323
13,324
10,325
10,326
10,327
5,328
7,329
2,330
12,331
5,332
2,333
3,334
1,335
3,336
7,337
5,338
5,339
13,340
9,341
1,342
1,343
5,344
6,345
5,346
6,347
5,348
7,349
5,350
3,351
13,352
13,353
13,354
3,355
6,356
3,357
5,358
10,359
3,360
13,361
7,362
7,363
10,364
6,365
3,366
13,367
5,368
5,369
5,370
11,371
12,372
3,373
7,374
7,375
4,376
2,377
3,378
6,379
6,380
3,381
13,382
13,383
7,384
3,385
5,386
5,387
3,388
3,389
5,390
5,391
6,392
1,393
2,394
5,395
12,396
6,397
7,398
12,399
5,400
6,401
7,402
13,403
5,404
3,405
3,406
5,407
6,408
3,409
7,410
6,411
7,412
6,413
13,414
3,415
12,416
13,417
7,418
5,419
6,420
9,421
5,422
10,423
3,424
13,425
5,426
5,427
13,428
6,429
13,430
13,431
2,432
3,433
13,434
6,435
3,436
13,437
3,438
7,439
13,440
7,441
5,442
5,443
5,444
3,445
3,446
7,447
3,448
5,449
5,450
5,451
6,452
7,453
12,454
3,455
6,456
5,457
6,458
3,459
5,460
5,461
3,462
13,463
7,464
6,465
1,466
2,467
3,468
6,469
7,470
12,471
6,472
6,473
13,474
7,475
5,476
3,477
6,478
7,479
5,480
3,481
5,482
5,483
6,484
4,485
7,486
13,487
7,488
12,419
1,489
1,490
1,491
5,492
5,493
13,494
5,495
3,496
13,497
10,498
3,499
6,500
2,501
6,502
6,503
3,504
5,505
11,506
1,507
3,508
3,509
10,510
5,511
6,512
3,513
7,514
1,515
1,516
1,517
1,518
1,519
2,520
13,521
7,522
7,523
10,524
12,525
10,526
6,527
3,528
1,529
1,530
3,531
13,532
7,533
6,534
1,535
3,536
7,537
7,538
7,539
6,540
5,541
12,542
5,543
5,544
6,545
5,546
6,547
7,548
7,549
1,550
1,551
2,552
6,553
12,554
7,555
3,556
13,557
5,558
1,559
1,560
1,561
1,562
11,563
6,564
7,565
3,566
7,567
3,568
6,569
5,570
6,571
6,572
6,573
5,574
10,575
10,576
12,577
1,578
3,579
12,580
1,581
3,582
5,583
1,584
2,585
12,586
3,587
3,588
5,589
6,590
3,591
3,592
3,593
13,594
13,595
1,596
6,597
6,598
7,599
1,600
7,601
1,602
11,603
5,604
5,605
11,606
12,607
5,608
1,609
1,610
1,611
6,612
5,613
10,614
3,615
5,616
3,617
6,618
7,619
12,620
6,621
1,622
1,623
3,624
12,625
12,626
12,627
7,628
11,629
3,630
7,631
1,632
5,633
3,634
2,635
3,636
10,637
13,638
13,639
5,640
5,641
6,642
13,643
7,644
5,645
3,646
5,647
6,648
5,649
5,650
5,651
3,652
3,653
6,654
3,655
5,656
6,657
7,658
3,659
3,660
13,661
1,662
1,663
3,664
3,665
3,666
13,667
5,668
7,669
7,670
12,671
5,672
7,673
7,674
3,675
3,676
6,677
5,678
3,679
5,680
7,681
7,682
3,683
12,684
12,685
12,686
7,687
10,688
12,689
5,690
6,691
1,692
12,693
6,694
7,695
3,696
7,697
5,698
6,699
6,700
13,701
3,702
6,703
5,704
1,705
3,706
7,707
5,708
5,709
6,710
3,711
1,712
1,713
1,714
3,715
13,716
5,717
3,718
5,719
6,720
6,721
7,722
7,723
5,724
5,725
7,726
3,727
5,728
6,729
12,730
3,731
5,732
5,733
3,734
12,735
3,736
6,737
3,738
5,739
3,740
3,741
5,742
6,743
10,744
10,745
3,746
13,747
7,748
6,749
7,750
3,751
13,752
5,753
6,754
1,755
6,756
5,757
6,758
7,759
7,760
7,761
5,762
7,763
10,764
5,765
5,766
10,767
10,768
1,769
1,770
2,771
13,772
13,773
13,774
5,775
13,776
7,777
10,778
2,779
3,780
13,781
6,782
6,783
1,784
3,785
6,786
5,787
13,788
10,789
5,790
2,791
3,792
6,793
7,794
9,795
6,796
7,797
7,798
12,799
3,800
3,801
5,802
6,803
3,804
3,805
5,806
6,807
7,808
3,809
5,810
7,811
6,812
3,813
6,814
1,815
1,816
1,817
10,818
3,819
11,820
3,821
10,822
1,823
13,824
10,825
6,826
3,827
13,828
5,829
7,830
11,831
1,832
1,833
11,834
3,835
3,836
6,837
3,838
5,839
5,840
6,841
7,842
1,843
1,844
2,845
6,846
3,847
6,848
7,849
1,850
1,851
2,852
13,853
6,854
7,855
6,856
10,857
5,858
1,859
1,860
13,861
12,862
7,863
3,864
6,865
1,866
11,867
5,868
6,869
6,870
1,871
1,872
13,873
7,874
3,875
5,876
5,877
12,878
3,879
6,880
7,881
3,882
1,883
1,884
1,885
2,886
5,887
5,888
10,889
1,890
5,891
1,892
5,893
6,894
7,895
12,896
11,897
5,898
6,899
3,900
6,901
7,902
3,903
3,904
11,905
6,906
7,907
1,908
1,909
5,910
9,911
10,912
6,913
1,914
3,915
5,916
6,917
3,918
1,919
3,920
3,921
6,922
7,923
1,924
2,925
3,926
7,927
7,928
12,929
12,930
6,931
1,932
3,933
5,934
6,935
11,936
3,937
5,938
6,939
10,940
3,941
3,942
12,943
6,944
10,945
6,946
12,947
3,948
3,949
11,950
1,951
1,952
1,953
13,954
3,955
3,956
9,957
6,958
13,959
6,960
1,961
5,962
11,963
2,964
12,965
13,966
5,967
2,968
3,969
6,970
1,971
3,972
7,973
7,974
3,975
12,976
12,977
6,978
5,979
6,980
3,981
5,982
11,983
12,984
1,985
6,986
6,987
1,988
3,989
6,990
3,991
5,992
13,993
5,994
6,995
12,996
12,997
13,998
12,999
13,1000
6,1001
7,1002
6,1003
6,1004
12,1005
12,1006
1,1007
1,1008
7,1009
5,1010
6,1011
5,1012
3,1013
12,1014
13,1015
1,1016
1,1017
12,1018
1,1019
12,1020
6,1021
12,1022
3,1023
6,1024
1,1025
6,1026
11,1027
5,1028
7,1029
12,1030
5,1031
3,1032
7,1033
3,1034
13,1035
13,1036
2,1037
7,1038
3,1039
12,1040
7,1041
3,1042
7,1043
7,1044
5,1045
13,1046
7,1047
3,1048
6,1049
3,1050
3,1051
3,1052
5,1053
13,1054
6,1055
12,1056
13,1057
13,1058
3,1059
12,1060
7,1061
5,1062
3,1063
12,1064
3,1065
5,1066
6,1067
1,1068
1,1069
7,1070
3,1071
13,1072
10,1073
7,1074
1,1075
3,1076
1,1077
5,1078
5,1079
5,1080
3,1081
6,1082
3,1083
7,1084
1,1085
2,1086
5,1087
1,1088
3,1089
5,1090
5,1091
7,1092
10,1093
5,1094
5,1095
3,1096
6,1097
7,1098
5,1099
5,1100
1,1101
1,1102
13,1103
13,1104
13,1105
1,1106
10,1107
3,1108
5,1109
5,1110
5,1111
1,1112
1,1113
1,1114
13,1115
5,1116
6,1117
13,1118
12,1119
6,1120
3,1121
3,1122
10,1123
1,1124
1,1125
2,1126
5,1127
7,1128
5,1129
5,1130
5,1131
1,1132
5,1133
5,1134
5,1135
5,1136
5,1137
13,1138
5,1139
11,1140
6,1141
3,1142
6,1143
