Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Dormitorios,Camas,Baños,Maximum_guests,log_Prices_per_night,log_Cleaning_fees,log_Ratings,log_Num_reviews,log_Dormitorios,log_Camas,log_Baños,log_Maximum_guests
Green House,Habitación,74,Llegada a partir de las 15:00,Salida antes de las 11:00,0,,4.48,201,1,2,1.5,2,4.31748811353631,0.0,1.7011051009599243,5.308267697401205,0.6931471805599453,1.0986122886681098,0.9162907318741551,1.0986122886681098
Diana Maria,Alojamiento entero,73,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,28,"Barcelona, Catalunya, España",0.0,0,1,2,1.0,3,4.30406509320417,3.367295829986474,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.3862943611198906
Vero,Habitación,36,Horario de llegada: de 15:00 a 20:00,Salida antes de las 12:00,31,"Barcelona, Catalunya, España",0.0,0,0,1,0.0,1,3.6109179126442243,3.4657359027997265,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Ele,Habitación,58,Horario de llegada: de 14:00 a 21:00,Salida antes de las 12:00,20,"Barcelona, Catalunya, España",5.0,4,1,2,1.0,1,4.07753744390572,3.044522437723423,1.791759469228055,1.6094379124341003,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453
Cristian,Alojamiento entero,80,Llegada a partir de las 15:00,Salida antes de las 11:00,45,"Barcelona, Catalunya, España",4.75,4,2,2,1.0,4,4.394449154672439,3.828641396489095,1.749199854809259,1.6094379124341003,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003
Marina,Habitación,40,Horario de llegada: de 20:00 a 1:00,Salida antes de las 11:00,5,"Barcelona, Catalunya, España",5.0,0,0,1,0.0,1,3.713572066704308,1.791759469228055,1.791759469228055,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Guido,Habitación,59,Horario de llegada: de 13:00 a 15:00,Salida antes de las 10:00,50,"Barcelona, Catalunya, España",4.75,8,0,1,0.0,2,4.0943445622221,3.9318256327243257,1.749199854809259,2.1972245773362196,0.0,0.6931471805599453,0.0,1.0986122886681098
Carmen,Alojamiento entero,130,Máximo 3 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,30,"Barcelona, Catalunya, España",0.0,0,1,1,1.0,3,4.875197323201151,3.4339872044851463,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3862943611198906
Kristina,Habitación,28,Horario de llegada: de 16:00 a 20:00,Salida antes de las 11:00,24,"Barcelona, Catalunya, España",0.0,0,0,1,0.0,1,3.367295829986474,3.2188758248682006,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Unite Hostel,Habitación,37,Llegada a partir de las 14:00,Salida antes de las 11:00,0,,4.47,2752,0,1,0.0,1,3.6375861597263857,0.0,1.6992786164338898,7.920446505142607,0.0,0.6931471805599453,0.0,0.6931471805599453
Raffaele,Alojamiento entero,0,Llegada a partir de las 15:00,Salida antes de las 11:00,0,"Barcelona, Catalunya, España",5.0,3,1,1,1.0,2,0.0,0.0,1.791759469228055,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
Ashley,Alojamiento entero,110,Horario de llegada: de 14:00 a 23:00,Salida antes de las 10:00,94,"Barcelona, Catalunya, España",0.0,0,2,3,1.0,4,4.709530201312334,4.553876891600541,0.0,0.0,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.6094379124341003
Valerie,Alojamiento entero,150,Llegada a partir de las 15:00,Salida antes de las 11:00,130,,4.74,0,4,4,2.0,8,5.017279836814924,4.875197323201151,1.747459210331475,0.0,1.6094379124341003,1.6094379124341003,1.0986122886681098,2.1972245773362196
David Nicolas,otro,110,Llegada a partir de las 16:00,Salida antes de las 11:00,75,"Barcelona, Catalunya, España",5.0,3,1,1,1.0,2,4.709530201312334,4.330733340286331,1.791759469228055,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
Kiko,Alojamiento entero,75,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,80,"Barcelona, Catalunya, España",0.0,0,3,3,1.0,6,4.330733340286331,4.394449154672439,0.0,0.0,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.9459101490553132
Lorenzo And  Cristina,Alojamiento entero,99,Horario de llegada: de 15:00 a 1:00,Salida antes de las 11:00,35,,0.0,0,1,1,1.0,2,4.605170185988092,3.58351893845611,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
Jesus Maximiliano,Habitación,63,Horario de llegada: de 15:00 a 20:00,Salida antes de las 10:00,0,"Barcelona, Catalunya, España",0.0,0,0,1,0.0,2,4.1588830833596715,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098
Magdalena,Habitación,50,Horario de llegada: de 15:00 a 0:00,Salida antes de las 12:00,43,"Barcelona, Catalunya, España",4.91,0,0,1,0.0,1,3.9318256327243257,3.784189633918261,1.776645831418007,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Gia,Habitación,40,Llegada a partir de las 13:00,Salida antes de las 11:00,34,"Barcelona, Catalunya, España",4.93,0,0,1,0.0,1,3.713572066704308,3.5553480614894135,1.780024213009634,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Raffaele,Alojamiento entero,0,Llegada a partir de las 15:00,Salida antes de las 11:00,0,"Barcelona, Catalunya, España",5.0,3,1,1,1.0,2,0.0,0.0,1.791759469228055,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
Jose David,Habitación,40,Horario de llegada: de 15:00 a 22:00,Salida antes de las 10:00,15,"Barcelona, Catalunya, España",4.67,27,0,1,0.0,2,3.713572066704308,2.772588722239781,1.7351891177396608,3.332204510175204,0.0,0.6931471805599453,0.0,1.0986122886681098
Cristian,Alojamiento entero,80,Llegada a partir de las 15:00,Salida antes de las 11:00,45,"Barcelona, Catalunya, España",4.75,4,2,2,1.0,4,4.394449154672439,3.828641396489095,1.749199854809259,1.6094379124341003,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003
Diana Maria,Alojamiento entero,73,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,28,"Barcelona, Catalunya, España",0.0,0,1,2,1.0,3,4.30406509320417,3.367295829986474,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.3862943611198906
Georgina,Alojamiento entero,108,Llegada a partir de las 15:00,Salida antes de las 11:00,25,"Barcelona, Catalunya, España",4.51,448,1,3,1.0,4,4.6913478822291435,3.258096538021482,1.706564623164823,6.1070228877422545,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.6094379124341003
Roberto,Alojamiento entero,0,Llegada a partir de las 15:00,Salida antes de las 12:00,0,,4.6,384,2,3,1.0,4,0.0,0.0,1.7227665977411035,5.953243334287785,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.6094379124341003
Som Nit Triomf,Habitación,97,Horario de llegada: de 15:00 a 23:00,Salida antes de las 11:00,0,,4.49,1202,1,0,1.0,2,4.584967478670572,0.0,1.7029282555214393,7.0925737159746784,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098
Angeles,Alojamiento entero,100,Llegada a partir de las 16:00,Salida antes de las 11:00,60,,4.91,0,1,2,1.0,3,4.61512051684126,4.110873864173311,1.776645831418007,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.3862943611198906
Lorenzo And  Cristina,Alojamiento entero,99,Horario de llegada: de 15:00 a 1:00,Salida antes de las 11:00,35,,0.0,0,1,1,1.0,2,4.605170185988092,3.58351893845611,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
Kristina,Habitación,42,Horario de llegada: de 16:00 a 20:00,Salida antes de las 11:00,20,"Barcelona, Catalunya, España",0.0,0,0,1,0.0,1,3.7612001156935624,3.044522437723423,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Fontanella,Habitación,82,Llegada flexible,Salida antes de las 11:00,0,,4.69,160,1,2,1.0,2,4.418840607796598,0.0,1.7387102481382397,5.081404364984463,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098
Green House,Habitación,74,Llegada a partir de las 15:00,Salida antes de las 11:00,0,,4.48,201,1,2,1.5,2,4.31748811353631,0.0,1.7011051009599243,5.308267697401205,0.6931471805599453,1.0986122886681098,0.9162907318741551,1.0986122886681098
Fernando,Alojamiento entero,97,Llegada a partir de las 15:00,Salida antes de las 11:00,125,"Barcelona, Catalunya, España",4.66,146,2,3,1.0,4,4.584967478670572,4.836281906951478,1.7334238922150915,4.990432586778736,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.6094379124341003
Jose David,Habitación,38,Horario de llegada: de 15:00 a 22:00,Salida antes de las 10:00,15,"Barcelona, Catalunya, España",4.91,23,0,1,0.0,2,3.6635616461296463,2.772588722239781,1.776645831418007,3.1780538303479458,0.0,0.6931471805599453,0.0,1.0986122886681098
David Nicolas,otro,110,Llegada a partir de las 16:00,Salida antes de las 11:00,75,"Barcelona, Catalunya, España",5.0,3,1,1,1.0,2,4.709530201312334,4.330733340286331,1.791759469228055,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
Vivi,Habitación,62,Llegada a partir de las 15:00,Salida antes de las 11:00,53,"Barcelona, Catalunya, España",4.54,24,0,1,0.0,1,4.143134726391533,3.9889840465642745,1.7119945007591924,3.2188758248682006,0.0,0.6931471805599453,0.0,0.6931471805599453
Natalia,Alojamiento entero,0,Horario de llegada: de 16:00 a 22:00,Salida antes de las 12:00,0,,4.83,379,2,2,1.0,4,0.0,0.0,1.763017000362401,5.940171252720432,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003
Joseph,Habitación,40,Llegada a partir de las 15:00,Salida antes de las 11:00,34,"L'Hospitalet de Llobregat, Catalunya, España",4.94,0,0,1,0.0,1,3.713572066704308,3.5553480614894135,1.7817091333745536,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Andrea,Habitación,40,Horario de llegada: de 9:00 a 22:00,Salida antes de las 11:00,15,,4.94,0,0,1,0.0,1,3.713572066704308,2.772588722239781,1.7817091333745536,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Bienvenida,Habitación,56,Horario de llegada: de 15:00 a 21:00,Salida antes de las 12:00,30,"Barcelona, Catalunya, España",0.0,0,0,1,0.0,2,4.04305126783455,3.4339872044851463,0.0,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098
Emmanuela Agbebi,Habitación,63,Horario de llegada: de 15:00 a 0:00,Salida antes de las 10:00,54,"Barcelona, Catalunya, España",4.89,0,0,1,0.0,2,4.1588830833596715,4.007333185232471,1.7732559976634952,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098
Fabio,Habitación,55,Horario de llegada: de 14:00 a 21:00,Salida antes de las 11:00,80,"L'Hospitalet de Llobregat, Catalunya, España",0.0,0,3,4,0.0,4,4.02535169073515,4.394449154672439,0.0,0.0,1.3862943611198906,1.6094379124341003,0.0,1.6094379124341003
Juan Carlos,Habitación,55,Llegada flexible,Salida antes de las 11:00,47,,4.76,63,0,1,0.0,1,4.02535169073515,3.871201010907891,1.7509374747078,4.1588830833596715,0.0,0.6931471805599453,0.0,0.6931471805599453
Kiko,Alojamiento entero,75,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,80,"Barcelona, Catalunya, España",0.0,0,3,3,1.0,6,4.330733340286331,4.394449154672439,0.0,0.0,1.3862943611198906,1.3862943611198906,0.6931471805599453,1.9459101490553132
Ashley,Alojamiento entero,110,Horario de llegada: de 14:00 a 23:00,Salida antes de las 10:00,94,"Barcelona, Catalunya, España",0.0,0,2,3,1.0,4,4.709530201312334,4.553876891600541,0.0,0.0,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.6094379124341003
Diana Maria,Alojamiento entero,73,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,28,"Barcelona, Catalunya, España",0.0,0,1,2,1.0,3,4.30406509320417,3.367295829986474,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.3862943611198906
Kristina,Habitación,28,Horario de llegada: de 16:00 a 20:00,Salida antes de las 11:00,24,"Barcelona, Catalunya, España",0.0,0,0,1,0.0,1,3.367295829986474,3.2188758248682006,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
Alejandro,Habitación,57,Horario de llegada: de 16:00 a 21:00,Salida antes de las 12:00,49,"L'Hospitalet de Llobregat, Catalunya, España",5.0,0,0,1,0.0,2,4.060443010546419,3.912023005428146,1.791759469228055,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098
Vhan,Alojamiento entero,121,Llegada a partir de las 14:00,Salida antes de las 12:00,50,"Barcelona, Catalunya, España",4.91,0,2,2,1.0,4,4.804021044733257,3.9318256327243257,1.776645831418007,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003
Jesús,Habitación,40,Llegada a partir de las 15:00,Salida antes de las 12:00,34,"Barcelona, Catalunya, España",4.74,61,0,2,0.0,2,3.713572066704308,3.5553480614894135,1.747459210331475,4.127134385045092,0.0,1.0986122886681098,0.0,1.0986122886681098
Rey,Alojamiento entero,58,Horario de llegada: de 15:00 a 2:00,Salida antes de las 11:00,45,"L'Hospitalet de Llobregat, Catalunya, España",3.79,14,1,1,1.0,2,4.07753744390572,3.828641396489095,1.5665304114228238,2.70805020110221,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098
